ID,Nom Fichier,Dimensions,Occurrences,Priorité,Prompt (50 premiers caractères),Généré,Placé,Testé
1,fromages-variete-principale.jpg,1920x1080,25,HAUTE,Professional food photography of an artisanal che...,NON,NON,NON
2,raclette-fondue.jpg,1920x1080,20,HAUTE,Professional close-up food photography of melting...,NON,NON,NON
3,plateau-fromages-elegant.jpg,1920x1080,19,HAUTE,Professional overhead food photography of an eleg...,NON,NON,NON
4,fromages-artisanaux-texture.jpg,1920x1080,19,HAUTE,Professional macro food photography of artisanal...,NON,NON,NON
5,degustation-vin-fromage.jpg,1920x1080,8,MOYENNE,Professional lifestyle photography of a cheese an...,NON,NON,NON
6,fromages-affines-cave.jpg,800x600,7,MOYENNE,Professional photography of aged cheese wheels in...,NON,NON,NON
7,fabrication-artisanale.jpg,800x600,3,MOYENNE,Professional documentary-style photography of art...,NON,NON,NON
8,raclette-roue.jpg,800x600,3,MOYENNE,Professional food photography of traditional racl...,NON,NON,NON
9,texture-fromage-macro.jpg,800x600,3,MOYENNE,Extreme close-up macro photography of artisanal c...,NON,NON,NON
10,raclette-evenement.jpg,400x300,1,BASSE,Professional event photography of raclette evenin...,NON,NON,NON
11,fondue-evenement.jpg,400x300,1,BASSE,Professional event photography of Swiss cheese fo...,NON,NON,NON
12,tartiflette-evenement.jpg,400x300,1,BASSE,Professional food photography of tartiflette dish...,NON,NON,NON
13,confirmation-success.jpg,800x600,1,BASSE,Professional lifestyle photography conveying succe...,NON,NON,NON
14,producteur-fromager-1.jpg,400x300,1,BASSE,Professional portrait photography of artisan chees...,NON,NON,NON
15,boutique-interieur-1.jpg,800x600,1,BASSE,Professional interior photography of artisanal ch...,NON,NON,NON
16,boutique-interieur-2.jpg,800x600,1,BASSE,Professional interior photography of cheese shop f...,NON,NON,NON
17,boutique-interieur-3.jpg,800x600,1,BASSE,Professional lifestyle photography of customer int...,NON,NON,NON
18,cheese-wine-galerie-1.jpg,800x600,1,BASSE,Professional event photography of wine and cheese...,NON,NON,NON
19,cheese-wine-galerie-2.jpg,800x600,1,BASSE,Professional lifestyle photography of wine cellar...,NON,NON,NON
20,cheese-wine-galerie-3.jpg,800x600,1,BASSE,Professional close-up photography of wine being po...,NON,NON,NON
21,cheese-wine-galerie-4.jpg,800x600,1,BASSE,Professional overhead flat-lay photography of win...,NON,NON,NON
22,projet-mariage-before.jpg,600x400,1,BASSE,Professional photography of wedding or event venu...,NON,NON,NON
23,projet-mariage-after.jpg,600x400,1,BASSE,Professional photography of wedding or event beau...,NON,NON,NON
24,projet-teambuilding-before.jpg,600x400,1,BASSE,Professional photography of corporate meeting roo...,NON,NON,NON
25,projet-teambuilding-after.jpg,600x400,1,BASSE,Professional photography of corporate team buildi...,NON,NON,NON
